Fecha;Bitcoin;Petroleo;oro;plata
19032021;58521;64;1752;26
20032021;58698;63;1750;26
21032021;57412;64;1742;25
22032021;54587;64;1749;25
23032021;54656;60;1736;25
24032021;52741;64;1744;25
25032021;51456;61;1736;25
26032021;55036;64;1743;25
27032021;55862;63;1738;25
28032021;55765;64;1733;25
29032021;57616;64;1723;24
30032021;58771;64;1694;24
31032021;58763;63;1723;24
1042021;58718;64;1736;25
2042021;58977;64;1730;25
3042021;57059;63;1782;25
4042021;58199;63;1736;25
5042021;58993;62;1737;24
6042021;57996;62;1751;25
7042021;55948;63;1750;25
8042021;58077;63;1767;25
9042021;58118;62;1754;25
10042021;59748;63;1753;25
11042021;59978;63;1749;25
12042021;59863;63;1742;24
13042021;63540;63;1756;25
14042021;62980;66;1745;25
15042021;63216;66;1776;26
16042021;61379;66;1789;26
17042021;60041;66;1788;26
18042021;56207;66;1787;25
19042021;55646;67;1780;25
20042021;56483;66;1788;25
21042021;53820;65;1802;26
22042021;51729;65;1791;26
23042021;51143;66;1787;26
24042021;50088;65;1785;25
25042021;48963;65;1786;25
26042021;54020;65;1789;26
27042021;55036;66;1788;26
28042021;54841;67;1783;26
29042021;53560;68;1777;26
30042021;57720;67;1777;25
1052021;57807;66;1777;25
2052021;56603;67;1776;25
3052021;57169;67;1801;26
4052021;53741;68;1786;26
5052021;57441;68;1794;26
6052021;56405;68;1825;27
7052021;57337;68;1841;27
8052021;58840;67;1839;27
9052021;58238;68;1840;27
10052021;55848;68;1847;27
11052021;56695;68;1845;27
12052021;49384;69;1832;27
13052021;49704;67;1833;27
14052021;49839;68;1848;27
15052021;46708;68;1849;27
16052021;46426;68;1875;27
17052021;43541;69;1876;28
18052021;42897;68;1877;28
19052021;36720;66;1890;28
20052021;40717;65;1891;28
21052021;37297;66;1886;27
22052021;37448;64;1885;27
23052021;34679;66;1885;27
24052021;38750;68;1894;27
25052021;38378;68;1907;28
26052021;39249;68;1911;27
27052021;38417;69;1906;27
28052021;35662;69;1913;28
29052021;34584;69;1912;28
30052021;35652;69;1906;28
31052021;37298;69;1911;28
1062021;36687;70;1912;28
2062021;37555;71;1917;28
3062021;39187;71;1880;27
4062021;36851;71;1899;27
5062021;35520;71;1890;27
6062021;35815;71;1899;27
7062021;33578;71;1906;28
8062021;33382;72;1901;27
9062021;37332;72;1902;28
10062021;36649;72;1903;28
11062021;37314;72;1886;28
12062021;35467;72;1886;28
13062021;39022;72;1887;27
14062021;40529;72;1873;28
15062021;40156;73;1863;27
16062021;38336;74;1868;27
17062021;38052;73;1782;25
18062021;35749;73;1776;26
19062021;35513;73;1776;25
20062021;35595;73;1775;26
21062021;31692;74;1790;25
22062021;32496;74;1785;26
23062021;33674;75;1791;26
24062021;34665;75;1784;26
25062021;31594;76;1785;26
26062021;32243;76;1788;26
27062021;34678;76;1785;26
28062021;34475;74;1788;25
29062021;35834;74;1771;26
30062021;35026;75;1779;26
1072021;33543;75;1784;26
2072021;33813;76;1791;26
3072021;34742;76;1791;26
4072021;35298;77;1786;26
5072021;33687;77;1791;26
6072021;34225;74;1801;26
7072021;33867;73;1809;25
8072021;32866;74;1807;26
9072021;33797;75;1818;26
10072021;33510;75;1818;26
11072021;34227;75;1818;26
12072021;33113;75;1813;26
13072021;32728;76;1817;26
14072021;32820;74;1833;26
15072021;31840;73;1836;25
16072021;31394;73;1823;25
17072021;31518;73;1824;25
18072021;31785;73;1824;25
19072021;30837;68;1816;24
20072021;29793;69;1818;25
21072021;32131;72;1811;25
22072021;32298;73;1812;25
23072021;33603;74;1809;25
24072021;33824;72;1809;25
25072021;35391;74;1810;25
26072021;37276;74;1806;24
27072021;39452;74;1807;24
28072021;40003;74;1808;25
29072021;40001;76;1839;25
30072021;42203;76;1820;25
31072021;41553;76;1825;25
1082021;39878;76;1825;25
2082021;39168;72;1825;25
3082021;38130;72;1817;25
4082021;39736;70;1818;25
5082021;40867;71;1812;24
6082021;42795;70;1767;23
7082021;44614;70;1765;23
8082021;43792;70;1766;23
9082021;46284;69;1730;23
10082021;45593;70;1735;23
11082021;45564;71;1757;23
12082021;44403;71;1756;23
13082021;47809;70;1782;23
14082021;47081;70;1782;23
15082021;46991;70;1781;23
16082021;45996;69;1794;23
17082021;44691;69;1791;23
18082021;44723;68;1788;23
19082021;46755;66;1787;23
20082021;49324;65;1788;22
21082021;48875;67;1787;23
22082021;49254;68;1788;23
23082021;49539;68;1810;23
24082021;47714;71;1812;23
25082021;48994;72;1795;24
26082021;46831;71;1799;24
27082021;49064;72;1823;24
28082021;48897;72;1821;24
29082021;48777;72;1820;24
30082021;46992;73;1816;24
31082021;47130;72;1822;23
1092021;48819;71;1819;24
2092021;49274;73;1815;24
3092021;49999;72;1837;24
4092021;49918;72;1836;24
5092021;51768;72;1830;24
6092021;52672;72;1825;24
7092021;46779;71;1802;24
8092021;46061;72;1797;23
9092021;46385;71;1803;23
10092021;44842;72;1795;23
11092021;45161;72;1794;23
12092021;46062;72;1794;23
13092021;44944;73;1798;23
14092021;47077;73;1810;22
15092021;48130;75;1798;22
16092021;47748;75;1760;22
17092021;47282;75;1754;22
18092021;48306;75;1752;22
19092021;47238;75;1753;22
20092021;42870;73;1767;22
21092021;40651;74;1781;22
22092021;43551;76;1782;22
23092021;44869;77;1753;22
24092021;42819;78;1755;22
25092021;42686;78;1754;22
26092021;43203;77;1752;22
27092021;42172;79;1755;22
28092021;41022;79;1741;22
29092021;41536;78;1726;22
30092021;43823;78;1759;22
1102021;48146;79;1761;22
2102021;47666;79;1762;22
3102021;48200;79;1765;22
4102021;49227;81;1770;22
5102021;51469;82;1764;22
6102021;55323;81;1765;22
7102021;53783;81;1762;22
8102021;53914;82;1761;22
9102021;54942;82;1762;22
10102021;54687;82;1762;23
11102021;57477;83;1759;23
12102021;56015;83;1762;23
13102021;57380;83;1798;23
14102021;57345;84;1801;23
15102021;61672;84;1771;23
16102021;60861;84;1771;23
17102021;61527;84;1770;24
18102021;62056;84;1769;24
19102021;64278;85;1774;24
20102021;65979;85;1788;24
21102021;62210;84;1785;24
22102021;60690;85;1800;24
23102021;61312;85;1800;24
24102021;60866;85;1801;24
25102021;63067;85;1810;24
26102021;60310;86;1797;23
27102021;58438;84;1802;23
28102021;60582;84;1806;23
29102021;62242;84;1787;24
30102021;61840;84;1788;23
31102021;61309;84;1787;23
1112021;60915;84;1799;23
2112021;63221;84;1793;24
3112021;62918;81;1767;24
4112021;61412;80;1797;24
5112021;60974;82;1820;24
6112021;61483;82;1819;24
7112021;63273;82;1820;24
8112021;67527;83;1831;25
9112021;66904;84;1834;25
10112021;64932;82;1852;25
11112021;64806;82;1867;25
12112021;64134;82;1872;25
13112021;64398;82;1872;24
14112021;65508;82;1874;25
15112021;63597;82;1870;24
16112021;60089;82;1858;24
17112021;60367;80;1874;24
18112021;56955;81;1865;24
19112021;58083;78;1856;23
20112021;59717;78;1856;23
21112021;58714;78;1852;23
22112021;56308;79;1811;23
23112021;57573;82;1788;23
24112021;57171;82;1788;23
25112021;58935;82;1792;22
26112021;53730;72;1789;22
27112021;54765;72;1785;22
28112021;57291;72;1786;22
29112021;57794;73;1787;22
30112021;56882;70;1778;22
1122021;57210;68;1786;22
2122021;56496;68;1764;22
3122021;53631;69;1785;22
4122021;49195;69;1786;22
5122021;49405;69;1785;21
6122021;50562;73;1781;22
7122021;50595;75;1786;22
8122021;50473;75;1787;22
9122021;47596;74;1778;22
10122021;47137;75;1787;22
11122021;49314;75;1786;22
12122021;50081;74;1785;22
13122021;46703;74;1790;22
14122021;48366;73;1774;22
15122021;48871;73;1766;22
16122021;47628;75;1800;22
17122021;46172;73;1807;22
18122021;46856;73;1807;22
19122021;46704;73;1808;22
20122021;46894;71;1796;22
21122021;48902;73;1791;22
22122021;48599;75;1804;22
23122021;50801;76;1814;23
24122021;50786;76;1810;22
25122021;50406;76;1870;23
26122021;50779;77;1825;23
27122021;50678;78;1811;23
28122021;47545;78;1813;23
29122021;46461;79;1808;22
30122021;47123;79;1816;23
31122021;46219;77;1831;23
1012022;47738;77;1830;22
2012022;47311;77;1830;22
3012022;46430;78;1802;22
4012022;45837;80;1817;22
5012022;43425;80;1827;22
6012022;43097;81;1791;23
7012022;41546;81;1799;23
8012022;41672;81;1798;22
9012022;41842;81;1801;22
10012022;41832;80;1821;22
11012022;42733;83;1829;23
12012022;43901;84;1823;23
13012022;42560;84;1819;24
14012022;43073;86;1820;24
15012022;43097;86;1815;24
16012022;43079;86;1819;24
17012022;42209;86;1814;24
18012022;42364;87;1845;23
19012022;41677;88;1844;23
20012022;40715;88;1834;23
21012022;36475;87;1834;22
22012022;35075;87;1834;22
23012022;36269;87;1844;22
24012022;36686;86;1855;22
25012022;36950;88;1832;22
26012022;36800;88;1795;22
27012022;37164;88;1786;22
28012022;37745;90;1785;22
29012022;38170;91;1786;22
30012022;37917;91;1796;22
31012022;38498;91;1801;22
1022022;38709;89;1810;23
2022022;36890;89;1804;23
3022022;37287;91;1807;23
4022022;41567;93;1806;23
5022022;41412;92;1807;23
6022022;42392;92;1821;23
7022022;43833;92;1827;23
8022022;44038;90;1836;23
9022022;44388;91;1837;23
10022022;43521;91;1842;23
11022022;42388;94;1843;23
12022022;42205;94;1843;24
13022022;42061;94;1869;24
14022022;42550;96;1856;24
15022022;44544;93;1871;24
16022022;43883;94;1902;24
17022022;40552;92;1899;24
18022022;40000;93;1898;24
19022022;40090;93;1908;24
20022022;38355;93;1912;24
21022022;37017;95;1907;24
22022022;38248;96;1910;24
23022022;37224;96;1926;25
24022022;38339;99;1887;25
25022022;39209;97;1886;25
26022022;39115;97;1886;25
27022022;37689;97;1900;26
28022022;43188;100;1943;26
1032022;44420;104;1922;25
2032022;43912;112;1935;26
3032022;42463;110;1966;25
4032022;39142;118;1967;26
5032022;39395;119;1967;26
6032022;38403;118;1995;26
7032022;38024;123;2043;25
8032022;38744;127;1988;25
9032022;41929;111;2000;25
10032022;39416;109;1985;24
11032022;38730;112;1985;25
12032022;38814;112;1985;25
13032022;37792;112;1960;25
14032022;39671;106;1929;25
15032022;39285;99;1909;25
16032022;41118;98;1943;25
17032022;40914;106;1929;24
18032022;41767;107;1918;25
19032022;42233;107;1927;25
